1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Fata foto,Tenemos paneles en el fondo para fotografiar,ACT.,IAGRO30,Isoroof FOIL 30 mm - Color Gris-Rojo,28.18,29.12,32.04,15%,,4.2271,32.41,39.54,,,,,,39.45,48.13,30.9988096,Isoroof FOIL 30 mm - Color Gris-Rojo,39.54,138.38,158.15,177.92,197.69,217.46,237.23,256.99,276.76,296.53,316.30,336.07,355.84,375.61,395.38,415.14,434.91,454.68,474.45,474.45,474.45
Fata foto,,ACT.,IAGRO50,Isoroof FOIL 50 mm - Color Rojo-Gris,31.95,33.02,36.32,15%,,4.7918,36.74,44.82,, ,,,,44.72,54.56,35.14005682,Isoroof FOIL 50 mm - Color Rojo-Gris,44.82,156.87,179.28,201.69,224.10,246.51,268.92,291.33,313.74,336.15,358.56,380.97,403.38,425.79,448.20,470.61,493.01,515.42,537.83,537.83,537.83
Fata foto,,ACT.,IROOF30,Isoroof 30 mm Terracota o Gris,34.74,35.90,39.49,15%,,5.2107,39.95,48.74,-5.28,,,,,48.63,59.33,38.2116075,Isoroof 30 mm Terracota o Gris,48.74,170.58,194.95,219.32,243.69,268.05,292.42,316.79,341.16,365.53,389.90,414.27,438.63,463.00,487.37,511.74,536.11,560.48,584.85,584.85,584.85
NO SUBIR,,ACT.,IROOF40,Isoroof 40 mm Terracota o Gris ,36.77,38.01,41.81,15%,,5.5160,42.29,51.59,2.86,,,,,51.48,62.81,40.4506135,Isoroof 40 mm Terracota o Gris ,51.59,180.58,206.37,232.17,257.96,283.76,309.56,335.35,361.15,386.95,412.74,438.54,464.34,490.13,515.93,541.73,567.52,593.32,619.12,619.12,619.12
Fata foto,,ACT.,IROOF50,Isoroof 50 mm Terracota o Gris,38.26,39.54,43.49,15%,,5.7388,44.00,53.68,4.94,  ,,,,53.56,65.35,42.084174,Isoroof 50 mm Terracota o Gris,53.68,187.87,214.71,241.54,268.38,295.22,322.06,348.90,375.74,402.57,429.41,456.25,483.09,509.93,536.76,563.60,590.44,617.28,644.12,644.12,644.12
Fata foto,,ACT.,IROOF80,Isoroof 80 mm - Gris - Rojo,44.98,46.49,51.14,15%,,6.7474,51.73,63.11,14.37,,,,,62.98,76.83,49.4806235,Isoroof 80 mm - Gris - Rojo,63.11,220.89,252.44,284.00,315.55,347.11,378.66,410.22,441.77,473.33,504.88,536.44,567.99,599.55,631.10,662.66,694.21,725.77,757.32,757.32,757.32
Falta Descripción,,ACT.,IROOF50-PLS,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),41.92,43.32,47.66,15%,,6.2880,48.21,58.81,4.21,DESCONTINUADO MIN 800m,,,,58.69,71.60,46.112,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),58.81,205.85,235.26,264.66,294.07,323.48,352.88,382.29,411.70,441.10,470.51,499.92,529.32,558.73,588.14,617.54,646.95,676.36,705.77,705.77,705.77
Fata foto,,ACT.,IROOF80-PLS,Isoroof Plus 80 mm - Gris - Rojo,51.15,52.86,58.15,15%,,7.6722,58.82,71.76,7.09,,,,,71.61,87.36,56.2628715,Isoroof Plus 80 mm - Gris - Rojo,71.76,251.16,287.04,322.92,358.80,394.68,430.56,466.44,502.33,538.21,574.09,609.97,645.85,681.73,717.61,753.49,789.37,825.25,861.13,861.13,861.13
