handle,title,vendor,status,published,product_category,type,tags,option_names,variant_count,variant_skus,image_count,metafield_count,url
angulo-interior-perfil-k2,ÁNGULO INTERIOR (Perfil K2),My Store,active,yes,Uncategorized,,,Title,1,,3,0,https://bmcuruguay.com.uy/products/angulo-interior-perfil-k2
angulo-plegado-g2-l-exterior,ÁNGULO EXTERIOR (Perfil G2),My Store,active,yes,Uncategorized,Accesorio,,"Variante, Color",11,,6,0,https://bmcuruguay.com.uy/products/angulo-plegado-g2-l-exterior
angulo-plegado-g4-40x40,Ángulo G4 - (40x40),My Store,active,yes,Uncategorized,,,Title,1,,2,0,https://bmcuruguay.com.uy/products/angulo-plegado-g4-40x40
arandela-carrocero-3-8-galvanizada,"ARANDELA CARROCERO 3/8"" - Galvanizada",BMC URUGUAY,active,yes,Hardware > Hardware Accessories > Hardware Fasteners > Washers,,,Title,1,,3,0,https://bmcuruguay.com.uy/products/arandela-carrocero-3-8-galvanizada
arandela-plana-galv-3-8,"Arandela Plana Galvanizada 3/8""",BMC URUGUAY,active,yes,Uncategorized,,,Title,1,,2,0,https://bmcuruguay.com.uy/products/arandela-plana-galv-3-8
arandela-plana-galvanizada-5-16,Arandela plana Galvanizada 5/16,BMC URUGUAY,active,yes,Hardware > Hardware Accessories > Hardware Fasteners > Washers,,,Title,1,,1,0,https://bmcuruguay.com.uy/products/arandela-plana-galvanizada-5-16
arandela-polipropileno-tortuga,"ARANDELA DE POLIPROPILENO - ""Tortuga""",BMC URUGUAY,active,yes,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Standard Collars,,,Color,3,,5,2,https://bmcuruguay.com.uy/products/arandela-polipropileno-tortuga
arandela-trapezoidal-caballete-roof,Caballete - Arandela trapezoidal - ISOROOF,My Store,active,yes,Uncategorized,,,Color,3,,8,0,https://bmcuruguay.com.uy/products/arandela-trapezoidal-caballete-roof
autoportante-aluzinc-bc-120-cal-22-esp-0-70-mm,Autoportante Aluzinc BC-120 Cal. 22 / Esp. 0.70 mm,My Store,draft,no,,,,Title,1,,0,0,https://bmcuruguay.com.uy/products/autoportante-aluzinc-bc-120-cal-22-esp-0-70-mm
autoportante-aluzinc-bc-120-cal-24-esp-0-50-mm,Autoportante Aluzinc BC-120 Cal. 24 / Esp. 0.50 mm,My Store,draft,no,,,,Title,1,,0,0,https://bmcuruguay.com.uy/products/autoportante-aluzinc-bc-120-cal-24-esp-0-50-mm
