sku,name,current_status,length_m,thickness_mm,type,family,unit_base
IAGRO30,Isoroof FOIL 30 mm - Color Gris-Rojo,In Stock,,30,panel,ISOROOF_3G,m2
IAGRO50,Isoroof FOIL 50 mm - Color Rojo-Gris,In Stock,,50,panel,ISOROOF_3G,m2
IROOF30,Isoroof 30 mm Terracota o Gris,In Stock,,30,panel,ISOROOF_3G,m2
IROOF40,Isoroof 40 mm Terracota o Gris,In Stock,,40,panel,ISOROOF_3G,m2
IROOF50,Isoroof 50 mm Terracota o Gris,In Stock,,50,panel,ISOROOF_3G,m2
IROOF80,Isoroof 80 mm - Gris - Rojo,In Stock,,80,panel,ISOROOF_3G,m2
IROOF50-PLS,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),In Stock,,50,panel,ISOROOF_3G,m2
IROOF80-PLS,Isoroof Plus 80 mm - Gris - Rojo,In Stock,,80,panel,ISOROOF_3G,m2
IAGRO30,Isoroof COLONIAL 40 mm - Color simil teja,Check Availability,,30,panel,ISOROOF_3G,m2
FLETEBRO,Flete de Bromyros en Zonas Aledañas,In Stock,,,otro,accesorio,unidad
Cab. Roj,"Caballete Rojo Teja, Gris y blanco- (Arandela Trapezoidal)",In Stock,,,accesorio,anclaje,unidad
Bromplast,Bromplast 8 - Silicona Neutra  X 600,In Stock,,,accesorio,consumible,unidad
GFS30,Gotero Frontal Simple 30mm Prep.,In Stock,,30,perfil,gotero,metro_lineal
GFS50,Gotero Frontal Simple 50mm Prep.,In Stock,,50,perfil,gotero,metro_lineal
GFS80,Gotero Frontal Simple 80mm Prep.,In Stock,,80,perfil,gotero,metro_lineal
GFSUP30,Gotero Superior 30mm Prep.,In Stock,,30,perfil,gotero,metro_lineal
GFSUP40,Gotero Superior 40mm Prep.,In Stock,,40,perfil,gotero,metro_lineal
GFSUP50,Gotero Superior 50mm Prep.,In Stock,,50,perfil,gotero,metro_lineal
GFSUP80,Gotero Superior 80mm Prep.,In Stock,,80,perfil,gotero,metro_lineal
GFCGR30,Gotero frontal con greca  1 x panel  30 - 40 - 50 - 80 100 mm,In Stock,,100,perfil,gotero,metro_lineal
GSDECAM30,Gotero Superior  -  DE CAMARA  30mm,Check Availability,,30,perfil,gotero,metro_lineal
GSDECAM40,Gotero Superior  -  DE CAMARA  40mm,Check Availability,,40,perfil,gotero,metro_lineal
GSDECAM50,Gotero Superior  -  DE CAMARA  50mm,Check Availability,,50,perfil,gotero,metro_lineal
GSDECAM80,Gotero Superior  -  DE CAMARA  80mm,Check Availability,,80,perfil,gotero,metro_lineal
GL30,Gotero Lateral 30mm  Prep.,In Stock,,30,perfil,gotero,metro_lineal
GL40,Gotero Lateral 40mm  Prep.,In Stock,,40,perfil,gotero,metro_lineal
GL50,Gotero Lateral 50mm  Prep.,In Stock,,50,perfil,gotero,metro_lineal
GL80,Gotero Lateral 80mm  Prep.,In Stock,,80,perfil,gotero,metro_lineal
GLDCAM50,Gotero Lateral   CAMARA  50mm  Prep.,Check Availability,,50,perfil,gotero,metro_lineal
GLDCAM80,Gotero Lateral  CAMARA  80mm  Prep.,Check Availability,,80,perfil,gotero,metro_lineal
BBAS3G,Babeta de Atornillar Superior 3G,In Stock,,,perfil,babeta,metro_lineal
BBESUP,Babeta de Empotrar Superior 3G,Check Availability,,,perfil,babeta,metro_lineal
