1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,E - Commerce,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Fata foto,Tenemos paneles en el fondo para fotografiar,ACT.,IAGRO30,Isoroof FOIL 30 mm - Color Gris-Rojo,28.14,29.08,31.99,15%,,4.2210,32.36,39.48,,,,,,,39.40,48.06,30.954,Isoroof FOIL 30 mm - Color Gris-Rojo,39.48,138.18,157.92,177.66,197.40,217.14,236.88,256.62,276.36,296.10,315.84,335.58,355.32,375.06,394.80,414.54,434.28,454.02,473.77,473.77,473.77
Fata foto,,ACT.,IAGRO50,Isoroof FOIL 50 mm - Color Rojo-Gris,31.90,32.97,36.27,15%,,4.7850,36.69,44.76,,, ,,,,44.66,54.49,35.09,Isoroof FOIL 50 mm - Color Rojo-Gris,44.76,156.64,179.02,201.40,223.78,246.16,268.53,290.91,313.29,335.67,358.05,380.42,402.80,425.18,447.56,469.93,492.31,514.69,537.07,537.07,537.07
Fata foto,,ACT.,IROOF30,Isoroof 30 mm Terracota o Gris,34.74,35.90,39.49,15%,,5.2107,39.95,48.74,,-5.28,,,,,48.63,59.33,38.2116075,Isoroof 30 mm Terracota o Gris,48.74,170.58,194.95,219.32,243.69,268.05,292.42,316.79,341.16,365.53,389.90,414.27,438.63,463.00,487.37,511.74,536.11,560.48,584.85,584.85,584.85
NO SUBIR,,ACT.,IROOF40,Isoroof 40 mm Terracota o Gris ,36.50,37.72,41.50,15%,,5.4750,41.98,51.21,,2.47,,,,,51.10,62.34,40.15,Isoroof 40 mm Terracota o Gris ,51.21,179.23,204.84,230.44,256.05,281.65,307.26,332.86,358.47,384.07,409.68,435.28,460.89,486.49,512.10,537.70,563.30,588.91,614.51,614.51,614.51
Fata foto,,ACT.,IROOF50,Isoroof 50 mm Terracota o Gris,38.26,39.54,43.49,15%,,5.7388,44.00,53.68,,4.94,  ,,,,53.56,65.35,42.084174,Isoroof 50 mm Terracota o Gris,53.68,187.87,214.71,241.54,268.38,295.22,322.06,348.90,375.74,402.57,429.41,456.25,483.09,509.93,536.76,563.60,590.44,617.28,644.12,644.12,644.12
Fata foto,,ACT.,IROOF80,Isoroof 80 mm - Gris - Rojo,44.98,46.49,51.14,15%,,6.7474,51.73,63.11,,14.37,,,,,62.98,76.83,49.4806235,Isoroof 80 mm - Gris - Rojo,63.11,220.89,252.44,284.00,315.55,347.11,378.66,410.22,441.77,473.33,504.88,536.44,567.99,599.55,631.10,662.66,694.21,725.77,757.32,757.32,757.32
Faltan Item,,x,IROOF100,Isoroof 100 mm - Gris - Rojo,49.39,51.04,"1,632.96",15%,,7.4085,56.80,69.29,,18.08,,,,,69.15,84.36,54.329,Isoroof 100 mm - Gris - Rojo,69.29,242.53,277.18,311.82,346.47,381.12,415.77,450.41,485.06,519.71,554.35,589.00,623.65,658.29,692.94,727.59,762.24,796.88,831.53,831.53,831.53
Falta Descripción,,ACT.,IROOF50-PLS,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),43.53,44.99,49.49,15%,,6.5295,50.06,61.07,,6.06,DESCONTINUADO MIN 800m,,,,60.94,74.35,47.883,Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2),61.07,213.75,244.29,274.83,305.36,335.90,366.44,396.97,427.51,458.04,488.58,519.12,549.65,580.19,610.73,641.26,671.80,702.33,732.87,732.87,732.87
